mode,n_evs,H_total_tard,H_max_tard,H_pct_tardy,H_runtime_s,G_total_tard,G_max_tard,G_pct_tardy,G_runtime_s,M_total_tard,M_max_tard,M_pct_tardy,M_runtime_s
loose,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.2166,0.2166,10.0,0.08
tight,10,1.0908,1.0908,10.0,0.0,0.0,0.0,0.0,0.04,0.7897,0.7897,10.0,0.09
loose,30,21.0879,5.0888,30.0,0.0001,0.0,0.0,0.0,0.73,1.0076,0.3795,13.33,5.86
tight,30,34.3045,6.0631,40.0,0.0001,0.0,0.0,0.0,0.98,2.2676,0.6057,16.67,31.61
loose,50,226.4777,14.4103,70.0,0.0001,1.3899,0.525,14.0,5.85,24.7496,8.5202,38.0,120.48
tight,50,188.6737,13.2312,60.0,0.0001,11.6279,2.3777,22.0,9.75,55.9522,8.7516,46.0,120.47
loose,100,844.3426,26.2274,63.0,0.0003,4.3567,1.3452,11.0,70.1,1459.7223,54.7856,82.0,121.85
tight,100,1032.7178,31.621,76.0,0.0003,28.7597,4.4692,29.0,69.72,1221.3719,39.6426,78.0,121.92
loose,200,6357.5936,78.7313,87.5,0.0005,530.2056,23.5152,57.5,814.21,,,,
tight,200,6510.3339,69.807,90.0,0.0006,779.1697,23.5366,67.0,473.93,,,,
